order_id,seller_id,customer_id,order_date,order_value,is_returned,profit
O000001,S0011,C01321,2023-12-21,56.08,1,-2.93
O000002,S0008,C00349,2023-12-18,149.67,0,42.33
O000003,S0160,C01857,2023-08-07,144.45,1,-12.89
O000004,S0474,C02033,2023-05-18,154.3,0,39.16
O000005,S0257,C00569,2023-01-01,37.43,0,6.24
O000006,S0185,C00199,2023-03-02,702.94,0,90.1
O000007,S0046,C01609,2022-06-08,56.67,0,21.03
O000008,S0273,C01530,2022-05-20,68.73,0,17.56
O000009,S0104,C01305,2023-04-01,40.44,0,13.03
O000010,S0427,C02403,2023-11-19,81.62,0,24.07
O000011,S0169,C02482,2023-07-23,179.59,0,60.23
O000012,S0194,C00813,2023-06-30,37.07,1,-3.15
O000013,S0431,C00643,2023-10-21,501.7,0,116.0
O000014,S0013,C01077,2023-06-28,136.11,0,36.53
O000015,S0477,C00291,2021-11-08,193.79,0,44.54
O000016,S0091,C01152,2022-12-18,118.61,0,36.03
O000017,S0371,C00346,2021-07-31,78.08,0,23.36
O000018,S0140,C00257,2023-07-25,237.73,0,35.47
O000019,S0318,C01336,2023-09-17,183.05,0,35.29
O000020,S0095,C00755,2022-09-17,297.06,0,30.05
O000021,S0422,C02175,2021-04-18,223.42,0,85.32
O000022,S0061,C01391,2022-11-07,136.7,0,30.11
O000023,S0007,C00406,2023-07-29,93.63,0,14.15
O000024,S0271,C00803,2023-06-09,189.13,0,44.77
O000025,S0225,C01042,2023-08-07,286.61,0,61.92
O000026,S0215,C01934,2022-04-13,318.66,1,-30.87
O000027,S0443,C01656,2023-07-04,76.12,0,27.7
O000028,S0074,C01416,2022-12-19,38.91,0,4.88
O000029,S0046,C02201,2022-09-27,76.49,1,-3.95
O000030,S0313,C01725,2023-07-17,54.33,0,8.32
O000031,S0494,C00477,2022-11-28,157.9,0,53.83
O000032,S0153,C00170,2023-08-08,70.49,1,-6.69
O000033,S0004,C00237,2023-12-15,46.68,1,-3.22
O000034,S0018,C01206,2023-09-26,57.42,0,17.89
O000035,S0058,C01753,2023-12-11,239.49,0,66.37
O000036,S0482,C00215,2022-10-18,78.8,0,20.03
O000037,S0192,C00252,2022-07-07,49.86,0,17.73
O000038,S0200,C00638,2022-12-14,20.74,0,2.79
O000039,S0112,C00547,2022-09-29,375.18,0,63.89
O000040,S0090,C02453,2023-01-28,9.18,0,1.66
O000041,S0374,C01919,2023-04-29,51.59,0,19.52
O000042,S0078,C01406,2023-02-16,514.38,0,95.75
O000043,S0425,C00134,2022-11-28,144.08,0,23.3
O000044,S0445,C00048,2022-03-07,103.38,0,40.17
O000045,S0217,C00149,2023-09-20,183.09,0,70.65
O000046,S0500,C01439,2023-12-30,75.4,0,21.78
O000047,S0372,C00238,2022-09-06,185.98,0,67.72
O000048,S0128,C01664,2023-05-07,40.56,0,13.99
O000049,S0160,C00624,2023-12-01,128.11,0,17.89
O000050,S0118,C00770,2023-12-19,233.18,0,58.62
O000051,S0496,C01471,2023-10-11,177.19,0,38.06
O000052,S0305,C00352,2023-06-10,104.32,0,37.46
O000053,S0045,C01959,2023-12-18,136.94,0,29.73
O000054,S0440,C02320,2023-05-08,59.55,0,11.73
O000055,S0489,C02338,2023-01-08,259.14,0,88.7
O000056,S0204,C01186,2022-10-02,104.82,0,13.55
O000057,S0356,C02219,2023-05-07,538.76,0,85.62
O000058,S0382,C02254,2023-02-18,284.63,0,111.49
O000059,S0423,C01777,2023-05-15,39.53,0,13.16
O000060,S0333,C00975,2023-12-08,134.87,0,28.39
O000061,S0347,C02158,2023-04-21,71.65,0,23.9
O000062,S0346,C00288,2023-02-03,277.84,0,101.4
O000063,S0494,C01330,2023-12-14,36.39,0,7.13
O000064,S0451,C01772,2023-07-16,65.81,0,21.85
O000065,S0084,C00200,2023-11-30,73.49,0,27.67
O000066,S0176,C00812,2023-05-18,89.8,0,31.47
O000067,S0472,C01513,2022-12-02,64.19,1,-6.14
O000068,S0005,C01714,2023-09-15,102.06,0,11.47
O000069,S0120,C01396,2023-03-25,23.35,0,9.1
O000070,S0129,C00763,2023-04-14,168.5,0,41.84
O000071,S0025,C01127,2023-12-31,164.07,0,16.9
O000072,S0343,C00533,2022-10-21,249.61,0,98.21
O000073,S0144,C01124,2023-10-17,49.65,0,11.72
O000074,S0002,C02351,2023-12-28,77.13,0,24.53
O000075,S0227,C01543,2023-10-31,233.72,0,51.92
O000076,S0194,C00498,2023-12-03,163.38,0,56.44
O000077,S0140,C01029,2023-12-24,142.48,0,17.37
O000078,S0389,C01809,2022-06-13,219.53,0,84.03
O000079,S0196,C01733,2022-10-29,60.82,0,11.49
O000080,S0204,C01061,2023-05-28,88.16,0,20.78
O000081,S0316,C01402,2022-07-18,193.09,0,59.84
O000082,S0344,C01337,2021-12-01,109.35,1,-6.71
O000083,S0164,C00150,2023-10-09,105.14,0,24.73
O000084,S0255,C00386,2023-11-07,27.77,0,4.12
O000085,S0119,C00525,2023-08-28,237.9,0,61.62
O000086,S0482,C01646,2022-02-11,36.01,0,12.26
